コントロールカラム,商品管理番号（商品URL）,商品名,表示先カテゴリ,優先度,URL,1ページ複数形式
"","10001710","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>薬用きよらかフォーム（洗顔）<br>","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","10002654","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>ニュートリブレット ナイサーダイサー スマート付き！<br>【ショップジャパン】【Nutri bullet】<br>","その他","103","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","10002663","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>ウェーブストレッチ プラス<br> 【正規品】【ショップジャパン】【ウェーブ】【ウェーブストレッチリング】【ストレッチ】【リング】【エクササイズ】<br>","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","10002678","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>大人のムード歌謡 デラックスBOX<br>【ショップジャパン】【歌謡曲】【昭和】【名曲】【石原裕次郎】【テレサテン】<br>","その他","999999992","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","1703_crf","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>セラフィット お料理応援セット<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","1703_ngw","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】ながらウォーク　<br>【ショップジャパン】【骨盤運動】【ながら運動】<br>","その他","999999992","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","1703_stp","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>スレンダートーン <br>【腹筋】【ショップジャパン】【筋トレ】【杉村太蔵】【巻くだけで腹筋】","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","1703_trs35","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー ライト3.5 シングル <br>【True Sleeper】【マットレス】【低反発マットレス】","その他","161200001","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","1703_wdc","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【公式】ワンダーコア 単品 【腹筋】【ショップジャパン】【wondercore】<br>","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","1703_wdc_per","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>ワンダーコア パーフェクトセット <br>39日返品保証は当店だけ【腹筋】【ショップジャパン（SHOPJAPAN）】【wondercore】【正規品】【倒れるだけ】","その他","604","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","1703_wds","ワンダーコアスマート<br>39日返品保証は当店だけ！【送料無料】正規品 ショップジャパン wondercore ワンダーコア ワンダーコア2 通販 TVショッピング 倒れるだけ スマート 腹筋 マシン 筋トレ 座椅子 ダイエット 剛力彩芽","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","3dl","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【送料無料】スターウォーズ（STAR WARS）3Dデコライト【ダースベイダー ヨーダ ボバフェット アナキン スカイウォーカー フォース】<br>","販売終了2\スターウォーズ 3Dデコライト LP","999999994","http://item.rakuten.co.jp/shopjapan/c/0000000643/","1"
"","3dl","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【送料無料】スターウォーズ（STAR WARS）3Dデコライト【ダースベイダー ヨーダ ボバフェット アナキン スカイウォーカー フォース】<br>","販売終了2\スターウォーズ 3Dデコライト お買い物ページ","999999994","http://item.rakuten.co.jp/shopjapan/c/0000000653/","2"
"","3dl-hook","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>壁掛けフック（3Dデコライト用【ダースベイダー ヨーダ ボバフェット アナキン スカイウォーカー フォース】<br>","販売終了2\スターウォーズ 3Dデコライト お買い物ページ","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000653/","1"
"","3dl_mail","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【送料無料】スターウォーズ（STAR WARS）3Dデコライト アイスクリームメーカー付き【ダースベイダー ヨーダ ボバフェット アナキン スカイウォーカー フォース】<br>","アウトレットセール","999999986","http://item.rakuten.co.jp/shopjapan/c/0000000156/",""
"","3dlset","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【送料無料】スターウォーズ（STAR WARS）3Dデコライトセット【ダースベイダー ヨーダ ボバフェット アナキン スカイウォーカー フォース】<br>","販売終了2\スターウォーズ 3Dデコライト LP","999999995","http://item.rakuten.co.jp/shopjapan/c/0000000643/","1"
"","3dlset","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【送料無料】スターウォーズ（STAR WARS）3Dデコライトセット【ダースベイダー ヨーダ ボバフェット アナキン スカイウォーカー フォース】<br>","販売終了2\スターウォーズ 3Dデコライト お買い物ページ","999999995","http://item.rakuten.co.jp/shopjapan/c/0000000653/","2"
"","596971","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】トゥルースリーパー　 エンジェルフィット ピロー<br>ショップジャパン<br>","寝具\トゥルースリーパー ピローシリーズ","999999991","http://item.rakuten.co.jp/shopjapan/c/0000000424/","1"
"","596971_m","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】トゥルースリーパー  エンジェルフィット ピロー【複数購入用】【送料無料】","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","655568","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>好きな長さにカットして密封保存袋に♪<br>フードセーバー 専用パックロール2本セット【28cm】<br>【ショップジャパン】<br>","非表示\フードセーバー 専用アクセサリーラインナップ2","999991204","http://item.rakuten.co.jp/shopjapan/c/0000000332/","1"
"","723274","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>ヒーリング・クラシックス（CD）<br>オリジナルDVDをプレゼント<br>【ショップジャパン】<br>","音楽CD/DVD\ヒーリングクラシックス","999993150","http://item.rakuten.co.jp/shopjapan/c/0000000270/","1"
"","724337","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>クラシックメモリーズ<br>【ショップジャパン】<br>","音楽CD/DVD\クラシックメモリーズ","999993270","http://item.rakuten.co.jp/shopjapan/c/0000000312/","1"
"","726191","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>フードセーバー キャニスター３点セット<br>【ショップジャパン】<br>","非表示\フードセーバー 専用アクセサリーラインナップ","999991213","http://item.rakuten.co.jp/shopjapan/c/0000000260/","1"
