コントロールカラム,商品管理番号（商品URL）,代引料
"","10001710","0"
"","10002654","0"
"","10002663","1"
"","10002678","1"
"","1703_crf","1"
"","1703_ngw","0"
"","1703_stp","1"
"","1703_trs35","1"
"","1703_wdc","1"
"","1703_wdc_per","1"
"","1703_wds","1"
"","3dl","0"
"","3dl-hook","0"
"","3dl_mail","0"
"","3dlset","0"
"","596971","1"
"","596971_m","1"
"","655568","1"
"","723274","1"
"","724337","1"
"","726191","1"
"","731613","1"
"","792679","1"
"","853074","1"
"","853369","1"
"","935746","1"
"","935746_m","1"
"","935747","1"
"","935747_m","1"
"","935754","1"
"","984418","1"
"","abb","0"
"","abb_out_1909","0"
"","abc_out17","0"
"","abc_out17_b","0"
"","abc_out17_smple","0"
"","abcx-mat","1"
"","abcx-utc","1"
"","abcxnma0","1"
"","adrobot_shopjapan","0"
"","adv","0"
"","afitp_out17","1"
"","asb","0"
"","awf-2ran","0"
"","awf-m2ra","0"
"","awf-mnab","0"
"","awf-moil","0"
"","awf-mrcp","0"
"","awf-nabn","0"
"","awf-npfn","0"
"","awf-nsxx","0"
"","awf-nsxx2","0"
"","awf-nsxx3","0"
"","awf-nttn","0"
"","awf-oiln","0"
"","awf-rcpx","0"
"","awf_mail","0"
"","awfm-hngk","0"
"","awfm-n2d","0"
"","awfm-n2d_1712","0"
"","awfm-n2d_1712_a","0"
"","awfm-n2d_1712_b","0"
"","awfm-n2d_1712_c","0"
"","awfm-n2d_1712_d","0"
"","awfm-n2d_1712_e","0"
"","awfm-n2d_1712_f","0"
"","awfm-nbs","0"
"","awfm-pfc","0"
"","awfm-used","0"
"","awfm-used2","0"
"","awfm_1612","0"
"","awfm_1712_t","0"
"","awfm_bh17","0"
"","awfm_ma1","0"
"","awfm_mb1","0"
"","bb0-pre0","0"
"","bb_bh17","0"
"","bdydtsbs","1"
"","bfl-xxxx","1"
"","bgv-case","1"
"","bgv-en1","1"
"","bgv-en2","1"
"","bgv-led","1"
"","bgv-ma1","1"
"","bgv-mb1","1"
"","bgv-net1","1"
"","bgv-net2","1"
"","bgv-net3","1"
"","bgv-net4","1"
"","bgv-ngf2","1"
"","bgv-rah-net2","1"
"","bgv-rah-tan1","1"
"","bgv-soft1","1"
"","bgv-soft2","1"
"","bgv-tan1","1"
"","bgv-tan2","1"
"","bgv-trd1","1"
"","bgv-trd2","1"
"","bkw","1"
"","bkw_out17","1"
"","blb-xxxx","1"
"","bns-nhcx","1"
"","btb","1"
"","btf","0"
"","btw","1"
"","cafes_bh17","1"
"","cafes_out17","1"
"","cart_custom_test","0"
"","cas-hfn-","1"
"","cbu-air","1"
"","cbu-cl","1"
"","cbu-mk","1"
"","cbu-pr","1"
"","cellopillow","1"
"","cft-sm","0"
"","chg","1"
"","chg-nban","1"
"","chg-ntws","1"
"","chgbx_out_1709","1"
"","chgrx_out_1709","1"
"","cib","1"
"","copy-hpj-r","1"
"","crf","0"
"","crf-1029","0"
"","crf-20tn","0"
"","crf-20yk","0"
"","crf-24tn","0"
"","crf-24yk","0"
"","crf-28tn","0"
"","crf-28yk","0"
"","crf-3d02","0"
"","crf-3ds5","0"
"","crf-7rn2","0"
"","crf-cffk","0"
"","crf-cffr","0"
"","crf-cfpt","0"
"","crf-cfwn","0"
"","crf-fnabe","0"
"","crf-frnb","0"
"","crf-frnb_1219","0"
"","crf-frnb_deal","0"
"","crf-hngk","0"
"","crf-kats","0"
"","crf-knabe","0"
"","crf-nabe","0"
"","crf-nabe-non","0"
"","crf-nabs","0"
"","crf-nfst","0"
"","crf-nsxx","0"
"","crf-pers-ss","0"
"","crf-rakt","0"
"","crf-rakt1","0"
"","crf-rcpn","1"
"","crf-rfyp","1"
"","crf-rkbt","1"
"","crf-rknb","0"
"","crf-rrbt","1"
"","crf-rrnb","0"
"","crf-rwbt","1"
"","crf-ryos","0"
"","crf-tan","0"
"","crf-tanknabe","0"
"","crf-tannabe","0"
"","crf-tanrnabe","0"
"","crf-tgar","0"
"","crf-tkkn","0"
"","crf-wk-set","0"
"","crf1_1712_t","0"
"","crf_1612","0"
"","crf_1612kan","0"
"","crf_bh17","0"
