コントロールカラム,商品管理番号（商品URL）,商品番号,全商品ディレクトリID,在庫数
"","10001710","","405130",""
"","10002654","","212401","0"
"","10002663","","302623","0"
"","10002678","","508121","0"
"","1703_crf","","215913","1"
"","1703_ngw","","302623","1"
"","1703_stp","","204692","1"
"","1703_trs35","","508183","1"
"","1703_wdc","","204695","1"
"","1703_wdc_per","","204695","1"
"","1703_wds","","200181","1"
"","3dl","","562711",""
"","3dl-hook","3DL-HOOK","562711","0"
"","3dl_mail","","562711",""
"","3dlset","","562711",""
"","596971","TRS-FITX","205582","99978"
"","596971_m","TRS-AFIR","205582","99999"
"","655568","FDSV-P28","401519","99999"
"","723274","HLC-P","101312","99976"
"","724337","CMS-UPDD","101312","99998"
"","726191","FDS-C3","564982","99999"
"","731613"," ","401519",""
"","792679","FEJ","101318","0"
"","853074","BOJ","205888","0"
"","853369","SEM","205888","99999"
"","935746","TRCF-NSX","508183","99928"
"","935746_m","TRSC-SRF","508183","99999"
"","935747","TRS-DSP","508183","99958"
"","935747_m","TRS-RSPD","508183","99999"
"","935754","TRSC-GS","215613","99997"
"","984418","FDSV-P20","401519","0"
"","abb","ABB-NXX0","204695","99974"
"","abb_out_1909","FK-ABBXX","204695","30"
"","abc_out17","FK-ABCXX","204695","0"
"","abc_out17_b","FK-ABCXX","204695","0"
"","abc_out17_smple","FK-ABCXX","204695","0"
"","abcx-mat","ABCX-NEC","100985","99999"
"","abcx-utc","ABCX-STC","100985","99999"
"","abcxnma0","ABCX-NBM","100985","99999"
"","adrobot_shopjapan","adrobot_shopjapan","101876","0"
"","adv","adv","204695","99999"
"","afitp_out17","US-AFITP","205582","90"
"","asb","ASB-NET1","101887","0"
"","awf-2ran","AWF-2RAN","208792","0"
"","awf-m2ra","AWF-M2RA","208792","99863"
"","awf-mnab","AWF-MNAB","565118","99905"
"","awf-moil","AWF-MOIL","208792","99813"
"","awf-mrcp","AWF-MRCP","208792","98613"
"","awf-nabn","AWF-NABN","208792","0"
"","awf-npfn","AWF-NPFR","564331","0"
"","awf-nsxx","AWF-NSXX","101766","0"
"","awf-nsxx2","AWF-NTNR","564331","0"
"","awf-nsxx3","AWF-30DS","101766","99999"
"","awf-nttn","AWF-NTTR","564331","0"
"","awf-oiln","AWF-OILN","208792","0"
"","awf-rcpx","AWF-RCPN","208792","0"
"","awf_mail","AWFNTN50","101766","49"
"","awfm-hngk","AWFM5050","564331","99999"
"","awfm-n2d","AWFM-NBR","564331","99996"
"","awfm-n2d_1712","RAK-AWFB","564331","2"
