コントロールカラム,商品管理番号（商品URL）,商品番号,商品名,倉庫指定,項目選択肢別在庫用横軸項目名,項目選択肢別在庫用縦軸項目名
"","10001710","","薬用きよらかフォーム（洗顔）<br>","1"," ","レビュー特典"
"","10002654","","ニュートリブレット ナイサーダイサー スマート付き！<br>【ショップジャパン】【Nutri bullet】<br>","1","",""
"","10002663","","ウェーブストレッチ プラス<br> 【正規品】【ショップジャパン】【ウェーブ】【ウェーブストレッチリング】【ストレッチ】【リング】【エクササイズ】<br>","1","",""
"","10002678","","大人のムード歌謡 デラックスBOX<br>【ショップジャパン】【歌謡曲】【昭和】【名曲】【石原裕次郎】【テレサテン】<br>","1","",""
"","1703_crf","","セラフィット お料理応援セット<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","1","",""
"","1703_ngw","","【正規品】ながらウォーク　<br>【ショップジャパン】【骨盤運動】【ながら運動】<br>","0","",""
"","1703_stp","","スレンダートーン <br>【腹筋】【ショップジャパン】【筋トレ】【杉村太蔵】【巻くだけで腹筋】","0","",""
"","1703_trs35","","【正規品】 トゥルースリーパー ライト3.5 シングル <br>【True Sleeper】【マットレス】【低反発マットレス】","1","",""
"","1703_wdc","","【公式】ワンダーコア 単品 【腹筋】【ショップジャパン】【wondercore】<br>","0","",""
"","1703_wdc_per","","ワンダーコア パーフェクトセット <br>39日返品保証は当店だけ【腹筋】【ショップジャパン（SHOPJAPAN）】【wondercore】【正規品】【倒れるだけ】","0","",""
"","1703_wds","","ワンダーコアスマート<br>39日返品保証は当店だけ！【送料無料】正規品 ショップジャパン wondercore ワンダーコア ワンダーコア2 通販 TVショッピング 倒れるだけ スマート 腹筋 マシン 筋トレ 座椅子 ダイエット 剛力彩芽","0","",""
"","3dl","","【送料無料】スターウォーズ（STAR WARS）3Dデコライト【ダースベイダー ヨーダ ボバフェット アナキン スカイウォーカー フォース】<br>","1","3Dデコライト","種類"
"","3dl-hook","3DL-HOOK","壁掛けフック（3Dデコライト用【ダースベイダー ヨーダ ボバフェット アナキン スカイウォーカー フォース】<br>","1","",""
"","3dl_mail","","【送料無料】スターウォーズ（STAR WARS）3Dデコライト アイスクリームメーカー付き【ダースベイダー ヨーダ ボバフェット アナキン スカイウォーカー フォース】<br>","1","3Dデコライト","種類"
"","3dlset","","【送料無料】スターウォーズ（STAR WARS）3Dデコライトセット【ダースベイダー ヨーダ ボバフェット アナキン スカイウォーカー フォース】<br>","1","3Dデコライトセット","種類"
"","596971","TRS-FITX","【正規品】トゥルースリーパー　 エンジェルフィット ピロー<br>ショップジャパン<br>","0","",""
"","596971_m","TRS-AFIR","【正規品】トゥルースリーパー  エンジェルフィット ピロー【複数購入用】【送料無料】","0","",""
"","655568","FDSV-P28","好きな長さにカットして密封保存袋に♪<br>フードセーバー 専用パックロール2本セット【28cm】<br>【ショップジャパン】<br>","1","",""
"","723274","HLC-P","ヒーリング・クラシックス（CD）<br>オリジナルDVDをプレゼント<br>【ショップジャパン】<br>","0","",""
"","724337","CMS-UPDD","クラシックメモリーズ<br>【ショップジャパン】<br>","0","",""
"","726191","FDS-C3","フードセーバー キャニスター３点セット<br>【ショップジャパン】<br>","1","",""
"","731613"," ","【1000円お得】【ショップジャパン】<br>フードセーバー 専用パックロール　4本セット<br>","1","ツインパックロール","サイズ"
"","792679","FEJ","永遠の時を刻む<br>ジャズコレクション<br>フォーエバージャズ<br>【ショップジャパン】<br>","1","",""
"","853074","BOJ","松山千春、さだまさし等…<br>70年代を中心とする名曲を100曲収録！<br>僕らの時代【ショップジャパン】<br>","1","",""
"","853369","SEM","「僕らの時代」には収めきれなかった<br>フォーク＆ニューミュージック<br>青春のメモリーズ【ショップジャパン】<br>","0","",""
"","935746","TRCF-NSX","公式／トゥルースリーパー プレミアケア 布団タイプ（シングル）<br>今なら送料無料！60日間返品保証！<br>【True Sleeper／マットレス／低反発ふとん／ショップジャパン／SHOPJAPAN】","0","",""
"","935746_m","TRSC-SRF","【正規品】トゥルースリーパー コンフォート（シングル）【複数購入用】【送料無料】","0","",""
"","935747","TRS-DSP","トゥルースリーパー　デュアルフェイス敷きパッド　シングル【ショップジャパン】<br>","0","",""
"","935747_m","TRS-RSPD","【正規品】トゥルースリーパー デュアルフェイス敷きパッド（シングル）【複数購入用】【送料無料】","0","",""
"","935754","TRSC-GS","トゥルースリーパー　おふとんぐっすりセット　シングル【ショップジャパン】<br>","0","",""
"","984418","FDSV-P20","好きな長さにカットして密封保存袋に♪<br>フードセーバー 専用パックロール2本セット【20cm】<br>【ショップジャパン】<br>","1","",""
"","abb","ABB-NXX0","<br>【日本上陸記念！送料無料】アブボウ<br>ショップジャパン（SHOPJAPAN） 通販 TVショッピング 腹筋    二の腕 腕立て伏せ マシン 筋トレ ダイエット  アブボー","0","",""
"","abb_out_1909","FK-ABBXX","アブボウ【アウトレット】1709","1","",""
"","abc_out17","FK-ABCXX","アブサークル プロX【アウトレット】1709","1","",""
"","abc_out17_b","FK-ABCXX","【公式】アブサークルプロX ※アウトレット","1","",""
"","abc_out17_smple","FK-ABCXX","【公式】【アウトレット】アブサークル プロX　※アウトレット","1","",""
"","abcx-mat","ABCX-NEC","【5000円キャッシュバック】<br>実質14,800円！<br>アブサークルプロＸ<br>【正規品】【改良版】<br>","1","",""
"","abcx-utc","ABCX-STC","トータルフィットネスカウンター<br>","1","",""
"","abcxnma0","ABCX-NBM","【5000円キャッシュバック】実質17,800円！<br>アブサークルプロＸ マットセット<br>【正規品】【改良版】<br>","1","",""
"","adrobot_shopjapan","adrobot_shopjapan","adrobot_shopjapan<br>","0","",""
"","adv","adv","adv","0","",""
"","afitp_out17","US-AFITP","トゥルースリーパー　 エンジェルフィット ピロー【美品中古】1710","1","",""
"","asb","ASB-NET1","『明日、美人』<br>【美容ドリンク】【ASHITABIJIN】【明日美人】【ショップジャパン】【TVショッピング】<br>","1","",""
"","awf-2ran","AWF-2RAN","エアウェーブフライヤー専用　2段ラック　串付き<br>","1","",""
"","awf-m2ra","AWF-M2RA","カラーラ専用　2段ラック　串付き<br>","0","",""
"","awf-mnab","AWF-MNAB","カラーラ専用　丸型ナベ<br>","0","",""
"","awf-moil","AWF-MOIL","オイルスプレー<br>","0","",""
"","awf-mrcp","AWF-MRCP","カラーラ ヘルシーレシピ100<br>","0","",""
"","awf-nabn","AWF-NABN","エアウェーブフライヤー専用　丸型ナベ<br>","1","",""
"","awf-npfn","AWF-NPFR","エアウェーブフライヤー　パーフェクトセット<br>なんと今回ナイサーダイサースマート、専用ミニレシピもセット！<br> ノンフライヤー【エアーウェーブフライヤー】<br>","1","",""
"","awf-nsxx","AWF-NSXX","今なら送料無料！エアウェーブフライヤー<br>","1","",""
"","awf-nsxx2","AWF-NTNR","エアウェーブフライヤー<br>なんと今回ナイサーダイサースマート、専用ミニレシピもセット！<br> ノンフライヤー【エアーウェーブフライヤー】<br>","1","",""
"","awf-nsxx3","AWF-30DS","【送料有り】エアウェーブフライヤー<br>なんと今回スピードスライサーもセット！<br> ノンフライヤー<br>","1","",""
"","awf-nttn","AWF-NTTR","エアウェーブフライヤー トータルセット<br>なんと今回ナイサーダイサースマート、専用ミニレシピもセット！<br> ノンフライヤー【エアーウェーブフライヤー】<br>","1","",""
"","awf-oiln","AWF-OILN","HARIO オイルスプレー<br>","1","",""
"","awf-rcpx","AWF-RCPN","エアウェーブフライヤー ヘルシーレシピ100<br>","1","",""
"","awf_mail","AWFNTN50","【送料無料】エアウェーブフライヤー<br>ノンフライヤー【エアーウェーブフライヤー】<br>","1","",""
"","awfm-hngk","AWFM5050","【送料無料】カラーラ 半額セット<br>ノンフライヤー【カラーラ】<br>","1","",""
"","awfm-n2d","AWFM-NBR","【送料無料！】カラーラ<br>ノンフライヤー【カラーラ】<br>電気フライヤー　ノンオイルフライヤー　ホームベーカリー　グリル　オーブン　マルチクッカー","0","",""
"","awfm-n2d_1712","RAK-AWFB","カラーラ【送料無料】【公式】","1","",""
"","awfm-n2d_1712_a","RAK-AWFA","カラーラ【送料無料】【公式】","1","",""
"","awfm-n2d_1712_b","RAK-AWFA","カラーラ【送料無料】【公式】","1","",""
"","awfm-n2d_1712_c","RAK-AWFA","カラーラ【送料無料】【公式】","1","",""
"","awfm-n2d_1712_d","RAK-AWFA","カラーラ【送料無料】【公式】","1","",""
