項目選択肢用コントロールカラム,商品管理番号（商品URL）,選択肢タイプ,Select/Checkbox用項目名,Select/Checkbox用選択肢,項目選択肢別在庫用横軸選択肢,項目選択肢別在庫用横軸選択肢子番号,項目選択肢別在庫用縦軸選択肢,項目選択肢別在庫用縦軸選択肢子番号,項目選択肢別在庫用取り寄せ可能表示,項目選択肢別在庫用在庫数,在庫戻しフラグ,在庫切れ時の注文受付,在庫あり時納期管理番号,在庫切れ時納期管理番号,タグID,画像URL
"","bgv-net1","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","bgv-net1","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","bgv-net2","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","bgv-net2","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","bgv-net3","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","bgv-net3","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","bgv-net4","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","bgv-net4","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","bgv-ngf2","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","bgv-ngf2","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","bgv-nsm1","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","bgv-nsm1","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","bgv-nsm2","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","bgv-nsm2","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","bgv-rah-net2","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","bgv-rah-net2","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","bgv-rah-tan1","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","bgv-rah-tan1","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","bgv-soft1","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","bgv-soft1","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","bgv-soft2","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","bgv-soft2","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","bgv-tan1","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","bgv-tan1","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","bgv-tan2","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","bgv-tan2","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","bgv-tr12","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","bgv-tr12","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","bgv-tr13","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","bgv-tr13","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","bgv-tr14","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","bgv-tr14","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","bgv-tr15","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","bgv-tr15","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","bgv-tr16","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","bgv-tr16","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","bgv-trd1","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","bgv-trd1","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","bgv-trd2","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","bgv-trd2","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
"","gv-ngf1","s","レビューを書いてクーポンGET","レビューを書く","","","","","","","","","","","",""
"","gv-ngf1","s","レビューを書いてクーポンGET","レビューを書かない","","","","","","","","","","","",""
