項目選択肢用コントロールカラム,商品管理番号（商品URL）,選択肢タイプ,Select/Checkbox用項目名,Select/Checkbox用選択肢,項目選択肢別在庫用横軸選択肢,項目選択肢別在庫用横軸選択肢子番号,項目選択肢別在庫用縦軸選択肢,項目選択肢別在庫用縦軸選択肢子番号,項目選択肢別在庫用取り寄せ可能表示,項目選択肢別在庫用在庫数,在庫戻しフラグ,在庫切れ時の注文受付,在庫あり時納期管理番号,在庫切れ時納期管理番号,タグID,画像URL
"","4562189170524-test","s","タイトルです","中身１","","","","","","","","","","","",""
"","4562189170524-test","s","タイトルです","中身２","","","","","","","","","","","",""
"","4589587020015","s","タイトルです","中身１","","","","","","","","","","","",""
"","4589587020015","s","タイトルです","中身２","","","","","","","","","","","",""
"","4589587020022","s","タイトルです","中身１","","","","","","","","","","","",""
"","4589587020022","s","タイトルです","中身２","","","","","","","","","","","",""
"","4589587020039","s","タイトルです","中身１","","","","","","","","","","","",""
"","4589587020039","s","タイトルです","中身２","","","","","","","","","","","",""
"","4589587020046","s","タイトルです","中身１","","","","","","","","","","","",""
"","4589587020046","s","タイトルです","中身２","","","","","","","","","","","",""
"","4589587020053","s","タイトルです","中身１","","","","","","","","","","","",""
"","4589587020053","s","タイトルです","中身２","","","","","","","","","","","",""
"","4589587020060","s","タイトルです","中身１","","","","","","","","","","","",""
"","4589587020060","s","タイトルです","中身２","","","","","","","","","","","",""
"","4589587020077","s","タイトルです","中身１","","","","","","","","","","","",""
"","4589587020077","s","タイトルです","中身２","","","","","","","","","","","",""
"","4589587020084","s","タイトルです","中身１","","","","","","","","","","","",""
"","4589587020084","s","タイトルです","中身２","","","","","","","","","","","",""
"","aaaaaaa","i","","","赤","1","S","1","0","0","0","0","","","",""
"","aaaaaaa","i","","","赤","1","M","2","0","1","0","0","","","",""
"","aaaaaaa","i","","","青","2","S","1","0","1","0","0","","","",""
"","aaaaaaa","i","","","青","2","M","2","0","1","0","0","","","",""
"","bambooshoo001","s","レビュー","書く","","","","","","","","","","","",""
"","bambooshoo001","s","レビュー","書かない","","","","","","","","","","","",""
"","bambooshoo001","s","レビュー","SNSで紹介する","","","","","","","","","","","",""
"","bambooshoot002","i","","","青","1","10m","1","0","0","0","0","","","",""
"","bambooshoot002","i","","","青","1","20m","2","0","0","0","0","","","",""
"","bambooshoot002","i","","","緑","2","10m","1","0","0","0","0","","","",""
"","bambooshoot002","i","","","緑","2","20m","2","0","0","0","0","","","",""
"","diane-botanical-bottle","i","","","ボタニカルシリーズ","","モイストシャンプー","591","0","99","0","0","","","","https://image.rakuten.co.jp/kuroko/cabinet/item/moist_diane/4560119227591-1.jpg"
"","diane-botanical-bottle","i","","","ボタニカルシリーズ","","モイストトリートメント","607","0","99","0","0","","","","https://image.rakuten.co.jp/kuroko/cabinet/item/moist_diane/4560119227607-1.jpg"
"","diane-botanical-bottle","i","","","ボタニカルシリーズ","","ダメージリペアシャンプー","638","0","100","0","0","","","","https://image.rakuten.co.jp/kuroko/cabinet/item/moist_diane/4560119227638-1.jpg"
"","diane-botanical-bottle","i","","","ボタニカルシリーズ","","ダメージリペアトリートメント","645","0","100","0","0","","","","https://image.rakuten.co.jp/kuroko/cabinet/item/moist_diane/4560119227645-1.jpg"
"","diane-botanical-bottle3","i","","","ボタニカルシリーズ 各種3本セット","","モイストシャンプー 3本","591-3","0","100","0","0","","","",""
"","diane-botanical-bottle3","i","","","ボタニカルシリーズ 各種3本セット","","モイストトリートメント 3本","607-3","0","99","0","0","","","",""
