path,url,fileSize,lastAccess,registDate

storico/001pclp01.jpg,https://image.rakuten.co.jp/shopjapan/cabinet/storico/001pclp01.jpg,175.6KB,2017/10/08,2017/05/29
storico/001pclp02.jpg,https://image.rakuten.co.jp/shopjapan/cabinet/storico/001pclp02.jpg,168.8KB,2017/07/24,2017/05/29
storico/001pclp03.jpg,https://image.rakuten.co.jp/shopjapan/cabinet/storico/001pclp03.jpg,166.3KB,2017/09/24,2017/05/29
storico/001pclp04.jpg,https://image.rakuten.co.jp/shopjapan/cabinet/storico/001pclp04.jpg,39.3KB,2017/07/24,2017/05/29
storico/001splp01.jpg,https://image.rakuten.co.jp/shopjapan/cabinet/storico/001splp01.jpg,190.6KB,2017/06/23,2017/05/29
storico/001splp02.jpg,https://image.rakuten.co.jp/shopjapan/cabinet/storico/001splp02.jpg,165.1KB,2017/06/23,2017/05/29
storico/001splp03.jpg,https://image.rakuten.co.jp/shopjapan/cabinet/storico/001splp03.jpg,168.1KB,2017/06/23,2017/05/29
storico/001splp04.jpg,https://image.rakuten.co.jp/shopjapan/cabinet/storico/001splp04.jpg,33.8KB,2017/06/23,2017/05/29
画像パス,画像URL,画像ファイルサイズ,最終アクセス日,画像登録日
